Richness	Treatment	EF	Time
31.3556904	1	1.184020619	999
31.3556904	1	1.351309557	999
42.20216072	2	1.528127612	999
42.20216072	2	1.754263026	999
34.36246855	3	2.078615213	999
34.36246855	3	2.393438284	999
10.07358295	4	0.878322653	999
10.07358295	4	1.26195319	999
2.33026491	5	0.022234606	999
2.33026491	5	0.0222764	999
