Date	Days p.a.	Treatment	Replicate	DO	EF	Scenedesmus maximus	Scenedesmus aristatus	Scenedesmus tropicus	Scenedesmus perforatus	Scenedesmus opoliensis	Scenedesmus quadricauda	Scenedesmus quadrispina	Scenedesmus dispar	Scenedesmus bicaudatus	Scenedesmus denticulatus	Scenedesmus denticulatus var linearis	Scenedesmus bijuga	Scenedesmus dimorphus	Scenedesmus longispina	Scenedesmus obliquus	Scenedesmus bernardii	Pediastrum tetras	Pediastrum duplex	Pediastrum simplex	Coelastrum cambricum	Coelastrum astroideum	Coelastrum sphaericum	Coelastrum reticulatum	Coelastrum microporum	Sphaerocystis shroeteri	Schizochlamys sp	Oocystis borgei	Oocystis pusilla	Oocystis lacustris	Oocystis elliptica	Oocystis rupestris	Tetraedron caudatum	Tetraedron minimum	Tetraedron trigonium	Staurastrum sexangulare	Staurastrum sp	Botryococcus braunnii	Elakatothrix gelatinosa	Micractinium pusillum	Kirchneriella obesa	Schroederia sp	Sphaerocystis schoeteri	Ankistrodesmus falcatus	Ankistrodesmus nannoselene	Monoraphidium sp	Golenkinia radiata	Chroococcus dispersus	Chroococcus dispersus var minor	Chroococcus limneticus	Spirulina laxissima	Gomphosphaeria sp	Pseudoanabaena limnetica	Merismopedia minima	Merismopedia tenuissima	Phormidium mucicola	Oscillatoria tenius	Oscillatoria limnetica	Coelosphaerium sp	Microcystis incerta	Microcystis aeruginosa	Nitzschia palea	Nitzschia amphibia	Cocconeis sp	Gomphonema parvulum	Amphora sp	Surirella tenera	Frustulia sp	Cyclotella sp	Chilomonas paramecium	Cryptomonas ovata	Cryptomonas pyrenoidifera	Mallomonas spp	Mallomonas caudata	Campilomonas spp	Chroomonas acuta	Phacus longispina	Cosmarium sp
21/02/05	-8	5	1	NA	34.336	7328.571429	2442.857143	0	0	0	9771.428571	0	63514.28571	34200	2442.857143	4885.714286	0	2442.857143	0	0	0	19542.85714	4885.714286	2442.857143	0	0	7328.571429	0	0	2442.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302914.2857	7328.571429	0	0	0	2442.857143	0	0	2442.857143	0	0	0	1221428.571	1465714.286	0	0	7328.571429	4885.714286	0	0	0	4885.714286	2442.857143	0	0	0	0	0	0	0	0
21/02/05	-8	5	2	NA	13.024	2728.571429	0	0	0	2728.571429	5457.142857	2728.571429	5457.142857	8185.714286	2728.571429	0	0	2728.571429	0	0	0	5457.142857	0	2728.571429	0	0	8185.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10914.28571	16371.42857	0	0	5457.142857	0	0	0	0	2660357.143	16371.42857	0	2728.571429	0	0	0	0	2728.571429	24557.14286	0	0	0	0	0	0	0	0
27/02/05	-2	1	1	NA	NA	0	5171.428571	43957.14286	0	7757.142857	12928.57143	0	144800	147385.7143	2585.714286	0	0	2585.714286	2585.714286	0	0	15514.28571	0	0	0	0	23271.42857	2585.714286	0	28442.85714	2585.714286	2585.714286	5171.428571	0	0	0	0	2585.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2585.714286	0	2585.714286	0	0	0	0	0	0	12928.57143	0	5171.428571	0	0	0	0	0	33614.28571	25857.14286	0	0	2585.714286	0	0	0	0
27/02/05	-2	1	2	NA	NA	0	2728.571429	0	0	2728.571429	5457.142857	0	60028.57143	21828.57143	0	5457.142857	0	0	0	0	0	19100	8185.714286	0	0	0	10914.28571	2728.571429	2728.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2728.571429	0	0	0	0	0	0	13642.85714	0	0	0	0	0	2728.571429	0	0	5457.142857	0	0	0	0	0	10914.28571	0	0	0	0	0	0	0
27/02/05	-2	1	3	NA	NA	0	0	0	0	2728.571429	2728.571429	0	10914.28571	0	2728.571429	5457.142857	0	0	2728.571429	0	0	13642.85714	0	0	0	0	0	0	2728.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8185.714286	0	0	0	0	0	5457.142857	0	0	2728.571429	0	0	0	2728.571429	0	8185.714286	0	0	0	0	0	0	0
27/02/05	-2	1	4	NA	NA	0	0	2585.714286	0	0	0	0	5171.428571	12928.57143	0	5171.428571	0	2585.714286	0	0	0	7757.142857	2585.714286	0	0	0	2585.714286	0	2585.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20685.71429	2585.714286	0	0	0	10342.85714	0	0	0	0	0	0	0	0	12928.57143	0	2585.714286	5171.428571	0	0	0	0	0	54300	5171.428571	0	0	0	2585.714286	0	0
27/02/05	-2	2	1	NA	NA	2728.571429	0	0	0	0	0	0	8185.714286	8185.714286	0	0	0	0	0	0	0	2728.571429	0	0	0	0	2728.571429	0	0	2728.571429	16371.42857	0	0	2728.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79128.57143	8185.714286	0	0	0	8185.714286	0	0	13642.85714	0	0	0	8867857.143	1159642.857	21828.57143	0	0	0	0	0	0	2728.571429	21828.57143	5457.142857	0	0	0	0	0	0	0
27/02/05	-2	2	2	NA	NA	0	0	0	0	0	0	0	0	2728.571429	2728.571429	2728.571429	0	0	2728.571429	0	0	13642.85714	0	0	0	0	5457.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60028.57143	2728.571429	0	0	0	2728.571429	8185.714286	0	0	2728.571429	0	0	1364285.714	1023214.286	8185.714286	2728.571429	0	2728.571429	0	0	0	0	10914.28571	24557.14286	0	0	0	0	0	0	0
27/02/05	-2	3	1	NA	NA	0	0	0	0	2728.571429	5457.142857	0	60028.57143	43657.14286	2728.571429	0	0	0	0	0	0	46385.71429	0	0	0	0	5457.142857	0	2728.571429	0	0	0	0	0	0	0	0	5457.142857	0	2728.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2728.571429	0	0	0	0	0	0	19100	5457.142857	2728.571429	30014.28571	0	0	0	0	10914.28571	16371.42857	0	0	0	0	0	0	0
27/02/05	-2	3	2	NA	NA	0	0	0	0	2728.571429	0	0	10914.28571	2728.571429	2728.571429	0	0	5457.142857	0	0	0	16371.42857	0	0	0	0	0	0	2728.571429	0	0	0	0	2728.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8185.714286	0	0	0	0	0	0	0	0	5457.142857	0	2728.571429	21828.57143	0	0	0	0	5457.142857	24557.14286	2728.571429	2728.571429	0	0	0	0	0
