Date	Day	week	Locatie	Treatment	replica	EF	Aphanocapsa	Oscillatoria	Anabaena	Gomphosphaeria	Merismopedia	Phormidium	Chrysococcus	Monas	Kephyrion	Achnanthes	Caloneis_silicula	Cocconeis	Cyclotella	Cymatopleura	Cymbella	Diatomeen_penales	Epithemia	Gomphonema	Gyrosigma	Pinnularia	Melosira	Phacus	Euglena	Trachelomonas	Gymnodinium	Cryptomonas	Chroomonas	Pteromonas	Ankyra	Characium	Monoraphidium	Coelastrum	Chlorococcum	Crucigenia	Dictyosphaerium	Micractinium	Scenedesmus	Pediastrum	Pandorina	Tetraedron	Tetrastrum	Oocystis	Closterium	Cosmarium	Staurastrum
20/06/01	2	0	cosm6	3	1	NA	0	0	0	0	0	0	0	0	0	2320.185615	0	4640.37123	0	0	0	23201.85615	2320.185615	4640.37123	13921.11369	0	2320.185615	0	0	2320.185615	0	0	0	2320.185615	9280.742459	0	0	0	0	0	0	0	34802.78422	0	0	0	0	6960.556845	0	0	0
20/06/01	2	0	cosm7	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9280.742459	4640.37123	0	0	0	0	0	2320.185615	9280.742459	0	18561.48492	4640.37123	0	4640.37123	0	0	0	0	0	2320.185615	0	4640.37123	0	2320.185615	0	0	0	0	0	0
20/06/01	2	0	cosm8	4	1	NA	0	0	2320.185615	0	0	0	0	0	0	0	0	4640.37123	0	0	2320.185615	25522.04176	2320.185615	2320.185615	4640.37123	0	0	2320.185615	4640.37123	11600.92807	0	2320.185615	13921.11369	0	0	0	0	0	0	0	2320.185615	0	6960.556845	0	0	0	0	0	2320.185615	4640.37123	0
20/06/01	2	0	cosm9	2	1	NA	0	0	0	0	0	3480.278422	0	0	0	0	0	0	0	0	0	2320.185615	2320.185615	0	1160.092807	0	0	1160.092807	0	12761.02088	0	0	0	0	0	0	0	0	0	0	0	0	1160.092807	0	0	0	0	0	0	0	0
20/06/01	2	0	cosm10	5	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160.092807	0	0	0	0	0	3480.278422	1160.092807	13921.11369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20/06/01	2	0	cosm16	5	2	NA	0	0	0	0	0	11600.92807	0	0	0	0	0	0	0	0	2320.185615	4640.37123	0	0	9280.742459	0	0	0	6960.556845	9280.742459	0	4640.37123	0	0	0	4640.37123	0	0	0	16241.2993	0	0	2320.185615	0	0	0	0	0	0	0	0
20/06/01	2	0	cosm17	3	2	NA	0	0	4640.37123	0	0	20881.67053	0	0	0	0	0	0	0	0	0	4640.37123	9280.742459	0	0	0	0	2320.185615	4640.37123	6960.556845	0	46403.7123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2320.185615	0	0	0
20/06/01	2	0	cosm18	4	2	NA	0	0	0	0	0	5800.464037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160.092807	9280.742459	0	0	0	0	0	0	0	0	0	0	0	0	1160.092807	0	0	0	0	0	0	1160.092807	0
20/06/01	2	0	cosm19	2	2	NA	0	0	0	0	0	1160.092807	0	0	0	0	0	0	0	0	0	2320.185615	0	1160.092807	0	0	0	0	0	4640.37123	0	2320.185615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160.092807	0
20/06/01	2	0	cosm20	1	2	NA	0	2320.185615	0	0	0	0	0	0	0	0	0	1160.092807	0	0	0	1160.092807	0	0	0	1160.092807	0	0	0	9280.742459	0	6960.556845	0	0	1160.092807	2320.185615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm6	3	1	3.248049079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160.092807	17401.39211	2320.185615	1160.092807	11600.92807	4640.37123	0	0	1160.092807	13921.11369	0	0	0	0	0	0	0	0	0	0	0	0	6960.556845	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm7	1	1	2.421703515	0	0	0	0	0	1160.092807	0	0	0	0	0	0	0	0	0	1160.092807	0	0	1160.092807	2320.185615	0	0	0	2320.185615	0	1160.092807	0	0	0	0	66125.29002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm8	4	1	4.488190612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13921.11369	0	0	0	0	0	83526.68213	417633.4107	343387.471	0	4640.37123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm9	2	1	2.420457142	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0	0	6960.556845	1160.092807	0	0	0	0	0	5800.464037	18561.48492	0	3480.278422	0	0	1160.092807	0	30162.41299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm10	5	1	13.59668742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13921.11369	0	0	0	0	0	92807.42459	352668.2135	324825.9861	0	23201.85615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm16	5	2	13.59668742	13921.11369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23201.85615	0	0	0	0	0	167053.3643	538283.0626	352668.2135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm17	3	2	3.248049079	139211.1369	0	37122.96984	0	0	27842.22738	0	1276102.088	0	0	0	0	0	0	0	27842.22738	9280.742459	0	0	0	0	74245.93968	46403.7123	120649.652	0	46403.7123	0	0	0	0	18561.48492	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm18	4	2	4.488190612	0	9280.742459	0	0	0	27842.22738	0	0	0	0	0	0	0	0	0	0	9280.742459	0	0	0	0	74245.93968	250580.0464	835266.8213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm19	2	2	2.420457142	0	0	0	0	0	0	0	18561.48492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37122.96984	78886.3109	0	13921.11369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/06/01	7	1	cosm20	1	2	2.421703515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27842.22738	0	0	0	0	0	18561.48492	9280.742459	343387.471	0	408352.6682	27842.22738	0	9280.742459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07/02/01	14	2	cosm6	3	1	15.18830625	167053.3643	0	0	0	0	9280.742459	0	167053.3643	0	0	0	0	0	0	0	0	0	0	0	0	0	46403.7123	9280.742459	324825.9861	0	37122.96984	0	0	0	18561.48492	0	0	0	0	0	0	0	0	0	9280.742459	9280.742459	0	0	0	0
07/02/01	14	2	cosm7	1	1	15.60334859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4640.37123	83526.68213	0	0	23201.85615	0	0	23201.85615	74245.93968	102088.1671	0	32482.59861	13921.11369	0	0	27842.22738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07/02/01	14	2	cosm8	4	1	37.53453493	0	23201.85615	0	0	0	0	0	46403.7123	0	0	0	0	0	0	0	116009.2807	0	0	23201.85615	0	0	742459.3968	2180974.478	5754060.325	0	116009.2807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07/02/01	14	2	cosm9	2	1	30.50000346	0	0	9280.742459	0	0	27842.22738	0	5893271.462	0	0	0	0	0	0	0	9280.742459	9280.742459	0	0	0	0	371229.6984	348027.8422	881670.5336	0	0	371229.6984	0	0	92807.42459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07/02/01	14	2	cosm10	5	1	68.15668298	23201.85615	0	0	0	0	0	0	11113689.1	0	0	0	0	0	0	0	23201.85615	0	0	0	0	0	626450.116	510440.8353	1090487.239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07/02/01	14	2	cosm16	5	2	68.15668298	2273781.903	0	92807.42459	0	0	0	0	0	0	0	0	0	0	0	0	46403.7123	0	0	46403.7123	0	0	371229.6984	3201856.148	928074.2459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07/02/01	14	2	cosm17	3	2	15.18830625	394431.5545	0	0	0	0	46403.7123	0	742459.3968	0	0	0	0	0	0	0	232018.5615	0	0	0	0	0	162412.993	278422.2738	1206496.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07/02/01	14	2	cosm18	4	2	37.53453493	37122.96984	0	9280.742459	0	0	0	0	0	0	0	0	0	0	0	0	9280.742459	0	0	0	0	0	4640.37123	27842.22738	69605.56845	0	0	0	0	0	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0
07/02/01	14	2	cosm19	2	2	30.50000346	835266.8213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185614.8492	0	0	0	0	0	139211.1369	928074.2459	696055.6845	0	974477.9582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07/02/01	14	2	cosm20	1	2	15.60334859	46403.7123	0	0	0	0	23201.85615	0	208816.7053	0	0	0	0	0	0	0	46403.7123	23201.85615	0	0	0	0	185614.8492	301624.1299	1948955.916	0	0	556844.5476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23201.85615	0
16/07/01	28	4	cosm6	3	1	20.03794515	0	0	0	0	9280.742459	9280.742459	0	0	0	0	0	18561.48492	0	0	0	74245.93968	0	0	0	0	0	9280.742459	0	371229.6984	0	0	27842.22738	0	0	0	0	9280.742459	0	0	0	0	9280.742459	0	0	0	0	0	0	0	0
16/07/01	28	4	cosm7	1	1	75.48535857	0	0	0	0	0	9280.742459	0	0	0	0	0	0	0	0	0	194895.5916	0	0	0	0	0	37122.96984	111368.9095	904872.3898	0	157772.6218	0	0	0	0	18561.48492	0	0	0	0	0	9280.742459	0	0	9280.742459	0	9280.742459	0	0	0
16/07/01	28	4	cosm8	4	1	44.4519073	0	0	69605.56845	0	0	0	0	0	0	0	0	0	0	0	0	185614.8492	0	0	0	0	0	835266.8213	278422.2738	7517401.392	0	0	0	0	0	0	0	0	0	0	0	0	162412.993	0	0	0	0	0	0	0	0
16/07/01	28	4	cosm9	2	1	62.24513395	0	0	0	0	0	23201.85615	0	0	0	0	0	23201.85615	0	0	0	139211.1369	69605.56845	0	0	0	0	69605.56845	139211.1369	4593967.517	23201.85615	348027.8422	0	0	0	0	23201.85615	0	0	0	23201.85615	0	69605.56845	23201.85615	0	23201.85615	0	0	0	0	0
16/07/01	28	4	cosm10	5	1	68.86711582	0	0	0	0	0	46403.7123	0	2598607.889	0	0	0	0	0	0	0	46403.7123	0	0	0	0	0	812064.9652	1299303.944	928074.2459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23201.85615	0	0	0	0
16/07/01	28	4	cosm16	5	2	68.86711582	69605.56845	23201.85615	0	23201.85615	0	46403.7123	0	997679.8144	0	0	0	0	0	0	0	92807.42459	23201.85615	0	0	0	0	904872.3898	139211.1369	1415313.225	0	0	185614.8492	0	0	0	0	0	0	0	0	0	23201.85615	0	0	0	0	0	0	0	0
16/07/01	28	4	cosm17	3	2	20.03794515	0	0	0	185614.8492	0	0	0	0	0	0	0	0	0	0	0	1856148.492	46403.7123	0	0	0	0	278422.2738	0	2320185.615	0	0	0	0	0	0	0	0	0	0	0	0	1206496.52	0	0	0	0	0	0	0	0
16/07/01	28	4	cosm18	4	2	44.4519073	69605.56845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464037.123	0	0	0	0	0	324825.9861	69605.56845	765661.2529	0	0	0	0	0	0	0	0	0	0	0	0	556844.5476	0	0	0	0	0	0	0	0
16/07/01	28	4	cosm19	2	2	62.24513395	0	11600.92807	0	0	0	11600.92807	0	0	0	0	0	0	0	0	11600.92807	591647.3318	11600.92807	0	0	0	0	23201.85615	0	150812.065	0	0	11600.92807	0	0	0	46403.7123	0	0	0	0	0	23201.85615	0	0	0	0	0	0	0	0
