Week	Treatment	Replicate	EF	Stephanodiscus sp_Cyclotella sp.	Diatoma sp._single cell	Diatoma sp._colony	Synedra sp.	Navicula sp.	Nitschia sp.	Melosira sp.	"Gomphonema sp,"	Cocconeis sp.	Cymatopleura sp.	Pinnularia sp.	Gyrosigma sp.	Chlamydomonas sp.	Monoraphidium sp.	Selenastrum sp.	Scenedesmus spˆ.	Chodatella sp.	Chroomonas sp.	Cryptomonas sp.	Anabaena sp.
2	6	1	83	7.596	0	0	0	1.665	0	0	0	2.259	0	0	0	2.898	1.665	0	0	0	1.665	0	0
2	6	2	89	8.062	0	0	2.259	1.665	2.259	0	0	1.665	2.629	0	0	3.96	0	0	0	0	0	0	1.665
3	1	1	77	4.242	0	0	2.629	0	1.665	0	0	2.259	0	0	0	5.485	2.629	0	2.259	0	2.629	2.259	0
3	1	2	124	3.11	0	0	3.285	1.665	1.665	0	0	2.259	0	0	0	4.242	6.377	1.665	1.665	0	0	1.665	0
3	2	1	44	3.285	0	0	2.259	2.898	2.629	0	0	0	0	0	0	3.678	4.302	1.665	0	0	0	2.629	2.259
3	2	2	33	4.463	0	0	5.15	0	0	0	0	0	0	0	0	3.285	2.629	1.665	1.665	0	0	3.434	0
3	3	1	15	2.898	1.665	0	1.665	0	1.665	0	0	0	0	0	1.665	2.259	1.665	0	0	0	1.665	0	0
3	3	2	65	3.781	0	0	3.285	1.665	0	0	0	2.898	0	0	0	4.511	5.222	0	0	0	2.259	3.874	1.665
3	4	1	71	2.259	0	0	5.392	0	0	0	0	0	0	0	0	3.96	2.898	1.665	0	0	0	3.11	1.665
3	4	2	41	2.898	0	1.665	3.11	0	0	2.898	0	2.259	1.665	0	0	3.434	3.678	0	0	0	2.898	3.96	0
3	5	1	36	5.372	0	0	0	3.11	0	3.564	0	0	0	0	0	3.96	0	0	0	0	2.259	2.898	0
3	5	2	178	4.242	0	0	2.629	0	0	0	0	2.259	0	0	0	3.678	1.665	0	0	0	0	1.665	0
3	6	1	127	2.898	0	0	0	0	0	3.285	0	2.259	0	0	0	3.96	0	0	0	0	2.898	0	0
3	6	2	145	3.564	0	0	3.285	1.665	0	4.463	0	2.259	1.665	0	0	5.789	1.665	0	0	0	0	0	0
4	1	1	24	3.642	0	0	0	0	0	0	0	1.35	0	0	0	2.52	0	0	0	0	1.35	2.52	0
4	1	2	41	4.038	0	0	2.898	0	1.665	0	0	0	0	0	0	2.898	3.874	0	2.629	0	1.665	3.285	0
4	2	1	21	3.11	0	0	0	0	0	0	0	0	0	0	0	3.11	3.11	0	0	0	0	2.259	0
4	2	2	24	3.564	0	0	5.352	1.665	0	0	0	2.259	1.665	0	0	2.629	3.11	2.259	0	0	0	3.11	0
4	3	1	12	2.628	1.145	0	0	0	0	0	0	1.145	0	0	0	2.628	0	0	0	0	0	2.628	0
4	3	2	36	4.302	1.665	0	3.285	0	0	0	0	1.665	1.665	0	0	3.96	2.259	0	0	0	1.665	4.557	0
4	4	1	44	3.678	0	0	6.406	0	0	0	0	0	0	0	0	2.898	1.665	1.665	0	0	2.259	3.285	0
4	4	2	27	3.285	1.665	1.665	4.111	0	0	0	0	1.665	0	0	0	3.11	0	0	1.665	0	4.038	4.643	0
4	5	1	18	4.511	0	0	0	0	0	0	0	0	0	0	0	3.781	0	0	0	0	4.412	1.665	0
4	5	2	68	4.463	0	0	1.665	0	0	0	0	3.11	0	0	0	3.564	0	0	2.259	0	2.259	0	0
4	6	1	18	4.511	0	0	0	0	0	0	0	0	0	0	0	4.601	0	0	0	0	0	0	0
4	6	2	89	5.045	0	0	1.665	0	0	0	0	2.259	0	0	0	7.102	0	0	0	0	0	1.665	0
5	1	1	15	3.434	0	0	1.665	0	0	0	0	2.259	0	0	0	2.629	0	0	0	0	1.665	1.665	0
5	1	2	21	3.678	0	0	3.285	0	0	0	0	0	0	0	0	2.259	4.111	0	0	0	2.259	2.259	0
5	2	1	18	3.11	0	0	0	0	0	0	0	0	0	0	0	4.412	3.434	0	1.665	0	0	2.259	0
5	2	2	30	3.434	0	0	6.13	0	0	0	1.665	0	0	0	0	3.11	3.11	0	0	0	1.665	3.11	0
5	3	1	12	1.665	0	0	1.665	0	1.665	0	0	1.665	0	0	0	2.629	0	0	0	0	1.665	0	0
5	3	2	24	4.038	0	0	2.259	0	0	0	0	0	0	0	0	3.678	2.898	1.665	0	0	3.11	0	0
5	4	1	124	3.11	0	0	6.644	0	0	0	0	0	0	0	0	2.629	1.665	0	0	0	0	3.434	0
5	4	2	30	2.898	0	2.259	3.434	0	1.665	0	0	1.665	1.665	0	0	3.285	0	0	0	0	5.073	3.434	0
5	5	1	41	2.898	0	0	1.665	0	0	0	1.665	2.259	0	0	0	4.412	2.259	0	0	0	7.758	1.665	0
5	5	2	65	3.11	0	0	2.629	0	0	0	0	3.285	0	0	0	4.179	0	0	0	0	2.259	0	0
5	6	1	41	7.662	0	0	1.665	0	0	0	0	2.898	1.665	0	0	7.646	0	0	0	0	0	1.665	0
