Date	Days p.a.	Treatment	Replicate	EF	Scenedesmus maximus	Scenedesmus aristatus	Scenedesmus opoliensis	Scenedesmus dimorphus	Scenedesmus quadricauda	Scenedesmus quadrispina	Scenedesmus javanensis	Scenedesmus dispar	Scenedesmus bicaudatus	Scenedesmus denticulatus	Scenedesmus denticulatus var. linearis	Scenedesmus bijuga	Scenedesmus ovalternus	Pediastrum tetras	Pediastrum duplex	Pediastrum simplex	Coelastrum sphaericum	Coelastrum cambricum	Coelastrum sphaericum	Coelastrum astroideum	Coelastrum microporum	Tetraedron caudatum	Tetraedron minimum	Cosmarium sp	Stigeoclonium sp	Gloeocapsa sp	Hydrodictyon sp	Schoederia sp	Euglena pisciformis	Phacus longispina	Phormidium mucicola	Oscillatoria limnetica	Oscillatoria tenius	Spirulina subsalsa	Chamaesiphon sp	Chroococcus limeticus	Anabaena sp	Gloeotrichia sp	Aphanocapsa sp	Merismopedia tenuissima	Cocconeis sp	Cyclotella sp	Nitzschia palea	Nitzschia amphibia	Gomphonema sp	Gomphonema parvulum
14/3/2005	13	5	1	1.332	0	0	0	0	0	0	0	0	0	0	0	0	0	18.25	0	0	0	0	0	0	0	0	0	18.25	0	0	0	0	0	0	0	18.25	237.25	0	0	0	18.25	36.5	54.75	0	0	0	0	0	0	0
14/3/2005	13	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25/3/2005	24	1	1	7.844	19	0	0	0	19	0	0	0	38	0	0	0	0	38	0	0	0	0	0	0	0	0	57	0	19	0	0	38	0	0	0	0	0	0	109055	0	0	0	0	0	0	0	0	0	1159	0
25/3/2005	24	1	2	90.576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1635825	0	0	0	0	0	0	0	0	0	0	0
25/3/2005	24	1	3	17.316	0	0	0	0	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1824	0	0	0	0	0	0	0	0	0	87244	0	0	0	0	0	665	0	0	19	0	19
25/3/2005	24	1	4	7.696	0	0	0	0	0	0	0	0	57	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	19	0	41135	0	0	0	0	0	8227	19	0	0	0	19
25/3/2005	24	2	1	13.616	0	0	0	0	0	0	0	19.5	0	0	0	0	0	97.5	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	120354	0	0	0	0	0	1735.5	0	58.5	0	0	0
25/3/2005	24	2	2	8.732	0	0	0	0	0	0	0	0	0	0	0	0	0	19.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95441.5	0	0	0	0	0	0	77	0	0	0	0
25/3/2005	24	3	1	0.296	0	0	0	0	0	0	0	38.5	0	0	0	57.75	0	77	0	0	0	0	0	0	0	0	0	0	115.5	0	0	0	0	0	0	115.5	0	0	77	0	0	0	0	0	2406.25	0	38.5	0	19.25	38.5
25/3/2005	24	3	2	11.248	0	0	0	0	0	0	0	38.5	0	0	0	0	0	19.25	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	87246	0	0	0	0	0	0	38.5	19.25	0	0	0
25/3/2005	24	4	1	2.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	57	0	0	0	19	855	0	0	0
25/3/2005	24	4	2	0.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0
25/3/2005	24	5	1	4.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	5320	0	0	0	0	0	0	0	456	0	0	0
25/3/2005	24	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	19
13/4/2005	43	1	1	0.444	0	0	0	0	36.5	0	18.25	18.25	73	0	0	0	0	18.25	0	18.25	0	0	0	0	0	18.25	1752	0	0	0	0	0	0	0	0	18.25	0	0	18.25	0	0	0	0	0	0	0	0	0	18.25	18.25
